"Transcript" "M1-10" "M1-13" "M1-28" "M1-3" "M1-30" "M1-31" "M1-32" "M1-8" "M2-13" "M2-14" "M2-15" "M2-17" "M3-26" "M3-28" "M3-4" "M3-5" "M3-8" "M3-9" "M4-1" "M4-17" "M4-18" "M4-21"
"13929" "FBtr0085653" 0.501 0.308 0.292 0.455 0.288 0.08 0.275 0.32 0.279 0.167 0.137 0.48 0.477 0.592 0.904 4.078 0.526 0.69 0.733 0.239 0.815 0.622
"13930" "FBtr0085654" 0.486 0.299 0.283 0.441 0.279 0.078 0.266 0.31 0.27 0.173 0.133 0.456 0.463 0.574 0.877 3.957 0.51 0.669 0.711 0.232 0.791 0.604
"13931" "FBtr0085689" 2.173 1.873 1.112 1.869 1.681 0.757 1.172 0.849 1.12 0.221 0.371 1.982 2.513 0.878 4.31 2.124 2.32 4.014 2.189 1.751 2.067 2.947
"13932" "FBtr0085688" 1.331 1.27 1.306 1.122 1.384 1.164 1.202 1.129 0.59 0.428 0.65 1.26 2.13 0.832 1.578 0.102 0.601 1.267 0.549 1.024 0.69 1.334
"13933" "FBtr0302522" 2.102 2.231 1.324 1.582 1.222 1.603 2.059 1.761 1.228 0.843 1.547 2.03 1.593 1.395 1.705 3.062 1.872 1.83 1.456 2.336 2.117 1.806
"13934" "FBtr0085686" 1.205 1.188 1.233 0.824 0.426 0.999 0.894 0.862 0.76 0.479 1.022 1.39 1.668 0.8 0.991 0.049 1.26 0.954 0.936 1.055 1.357 1.189
"13935" "FBtr0085655" 1.694 1.77 0.847 1.49 1.777 2.349 1.063 0.955 1.337 0.549 0.897 2.307 1.475 0.949 1.738 0 1.102 1.224 1.449 1.048 1.994 1.616
"13936" "FBtr0110859" 1.731 1.845 0.874 1.538 1.834 2.424 1.097 0.985 1.379 0.567 0.925 2.38 1.522 0.979 1.793 0 1.137 1.263 1.495 1.082 2.058 1.667
"13937" "FBtr0085681" 148.847 170.118 118.782 121.891 134.038 167.79 133.768 169.634 144.357 105.974 111.755 136.453 134.295 120.503 134.792 116.002 119.152 132.213 128.356 110.384 139.183 123.657
"13938" "FBtr0085682" 151.182 173.103 120.354 123.804 136.428 170.794 135.821 171.896 146.653 107.783 113.329 138.649 136.212 122.51 137.03 118.216 121.005 133.998 129.939 112.107 140.828 125.193
"13939" "FBtr0085683" 143.693 141.832 105.587 120.918 104.696 130.334 129.182 189.162 119.269 104.588 138.943 130.665 129.734 109.769 147.921 76.949 118.226 129.033 124.729 135.138 126.807 114.321
"13940" "FBtr0081663" 0 0 0 0 0 0 0 0 0.865 0.9 0 0 0 0 0 0 0 0 0 0 0 1.092
"13941" "FBtr0085658" 72.11 72.136 69.535 65.941 50.852 68.222 58.788 69.553 61.304 56.128 53.766 55.652 56.93 58.016 68.483 27.507 59.437 54.804 59.7 54.957 55.308 48.838
"13942" "FBtr0113483" 65.256 65.057 63.594 60.274 45.114 62.199 52.856 61.681 55.734 50.149 48.347 50.299 51.614 51.617 61.983 24.646 54.119 48.934 54.288 49.322 49.88 44.628
"13943" "FBtr0302111" 71.208 71.216 68.652 65.091 50.196 67.317 58.022 68.676 60.52 55.411 53.073 54.934 56.196 57.267 67.6 27.152 58.67 54.13 58.965 54.354 54.594 48.216
"13944" "FBtr0302601" 72.734 72.761 70.137 66.513 51.293 68.788 59.29 70.155 61.835 56.615 54.232 56.134 57.423 58.518 69.077 27.745 59.952 55.279 60.217 55.433 55.787 49.261
"13945" "FBtr0085659" 67.615 67.531 65.376 61.812 47.654 63.976 55.182 65.212 57.479 52.642 50.399 52.183 53.223 54.324 64.23 25.757 55.686 51.348 55.994 51.577 51.913 45.826
"13946" "FBtr0085660" 70.986 70.903 68.626 64.899 50.033 67.17 57.929 68.468 60.342 55.257 52.896 54.759 55.88 57.036 67.397 27.042 58.466 53.912 58.778 54.152 54.487 48.106
"13947" "FBtr0302110" 73.542 75.203 70.928 66.512 52.529 70.056 60.772 69.406 63.594 57.317 55.655 57.506 58.5 59.695 69.603 29.658 61.496 56.907 60.996 56.095 56.995 50.516
"13948" "FBtr0085661" 67.321 68.888 65.184 60.971 48.037 64.594 55.812 63.66 58.305 52.615 51.087 52.912 53.691 54.856 63.706 27.091 56.241 51.95 55.846 51.25 52.271 46.297
"13949" "FBtr0302600" 58.392 59.217 56.756 52.833 41.755 56.339 47.966 54.855 50.599 45.297 44.037 46.048 46.634 47.614 54.675 23.333 49.028 44.547 48.459 44.258 45.637 40.147
"13950" "FBtr0302112" 66.468 68.049 64.432 60.204 47.385 63.8 55.106 62.834 57.627 52.004 50.391 52.282 52.984 54.118 62.795 27.605 55.55 51.252 55.164 50.561 51.606 45.708
"13951" "FBtr0111047" 7.348 8.808 8.635 6.352 5.296 7.334 5.844 9.759 7.966 4.937 6.044 6.9 7.8 8.658 7.8 3.914 8.852 8.212 8.4 8.411 9.719 6.646
"13952" "FBtr0085662" 74.164 76.46 71.03 67.606 52.991 70.934 61.272 70.461 64.358 57.992 56.067 58.723 59.031 60.467 69.828 28.912 62.192 57.739 61.076 56.168 56.588 50.119
"13953" "FBtr0085663" 73.335 74.916 71.06 66.296 52.317 69.734 60.642 69.318 63.554 56.971 55.572 57.593 58.354 59.546 69.737 29.371 61.652 57.156 61.049 56.349 56.586 50.301
"13954" "FBtr0085680" 0.196 0.117 1.449 0.2 0.188 0.376 0.28 0.263 0.453 0.17 0.215 0.651 0.28 0.409 0.192 0.058 0.309 0.249 0.534 0.645 0.957 0.587
"13955" "FBtr0085679" 12.119 10.18 6.688 9.123 6.276 9.895 10.705 10.998 9.681 7.986 9.554 9.2 12.012 16.149 16.801 9.394 12.875 17.856 11.477 10.213 10.91 10.675
"13956" "FBtr0302606" 59.707 66.537 73.387 64.445 56.734 69.936 54.107 68.424 59.022 54.185 53.332 67.028 67.945 67.27 72.623 39.005 66.712 67.786 64.943 61.249 62.112 62.812
"13957" "FBtr0302607" 61.217 68.599 74.674 65.883 57.689 71.943 55.7 69.953 60.266 55.201 54.646 68.494 69.526 68.988 74.413 38.395 68.125 69.067 66.461 63.139 63.608 64.232
"13958" "FBtr0302605" 64.072 71.731 78.975 71.042 61.066 75.927 58.487 73.126 64.822 58.376 56.671 72.668 74.176 72.466 78.379 43.39 72.391 73.27 70.419 65.26 66.311 67.375
"13959" "FBtr0085677" 57.352 64.361 69.082 62.324 54.617 67.599 52.91 65.676 56.728 51.96 51.285 64.576 65.275 64.396 70.155 35.726 64.407 65.606 62.81 58.893 59.558 60.225
"13960" "FBtr0085676" 64.127 71.853 77.403 69.716 61.287 75.624 58.906 73.776 63.391 58.063 57.24 71.921 73.171 72.287 78.751 40.104 72.073 73.416 70.257 65.927 66.758 67.518
"13961" "FBtr0085678" 62.415 69.542 75.936 68.049 60.144 73.357 57.096 72.013 61.957 56.881 55.749 70.24 71.359 70.341 76.693 40.695 70.43 71.9 68.507 63.815 65.054 65.891
"13962" "FBtr0302609" 70.132 78.706 84.689 76.148 66.8 82.67 64.413 80.615 69.183 63.478 62.68 78.571 80.141 79.134 86.197 44.017 78.981 80.391 76.958 72.109 72.95 73.945
"13963" "FBtr0302610" 64.331 72.082 77.649 69.938 61.482 75.864 59.068 74.011 63.593 58.212 57.422 72.12 73.404 72.517 78.989 40.232 72.303 73.65 70.481 66.137 66.971 67.733
"13964" "FBtr0085675" 67.451 76.099 82.565 74.679 63.783 80.191 62.017 76.726 68.118 61.218 59.775 76.326 78.147 76.247 82.371 43.178 75.698 76.913 74.159 69.073 69.781 70.837
"13965" "FBtr0085673" 60.426 67.869 74.855 67.068 57.543 71.573 55.251 69.163 61.38 55.306 53.539 68.621 70.394 68.317 73.683 40.659 68.006 69.557 66.832 61.419 62.93 63.659
"13966" "FBtr0085674" 67.117 74.85 81.642 73.41 64.263 79.045 61.355 77.01 66.848 60.999 59.971 75.521 77.026 75.21 82.212 43.579 75.597 77.408 73.703 68.447 69.933 70.756
"13967" "FBtr0302608" 69.137 77.537 83.439 75.407 65.651 81.7 63.463 79.097 68.578 62.428 61.737 77.532 79.192 77.488 84.636 43.057 77.562 79.251 75.783 70.895 71.952 72.692
"13968" "FBtr0302313" 63.803 73.306 78.718 70.933 60.003 75.922 59.645 73.237 63.868 58.616 56.539 72.026 74.977 72.473 78.761 41.139 71.833 74.022 70.97 66.171 66.476 67.366
"13969" "FBtr0085665" 5.685 5.416 5.615 5.602 3.489 6.752 5.368 6.817 4.47 5.518 5.731 5.462 4.106 4.265 4.744 0.21 5.314 4.772 5.547 5.249 5.975 5.49
"13970" "FBtr0081662" 0.176 0.773 1.565 0 0.248 0.93 0.277 0 0 0 0 0.437 0.554 0 0 0 0 0 0.431 0.327 0.702 0
"13971" "FBtr0081622" 0.705 0 0.522 0 0.495 0 0.277 0 0 0.259 0.71 0.437 0 0 0 12.557 0 0 0.431 0.327 0 0
"13972" "FBtr0302398" 44.789 37.939 82.385 107.089 892.838 67.64 112.389 96.271 71.597 123.845 140.707 55.478 136.775 105.859 101.374 1234.063 13.719 30.697 69.206 239.161 57.724 108.453
"13973" "FBtr0081661" 0.529 0 0 0 2.229 0 0 0 0.249 0 0.355 0.218 0 0 0.584 7.991 0 0 0 0 0 0.942
"13974" "FBtr0081623" 0.705 0 0 0 0.743 0 0.832 0 0.498 0 0 0.218 0 0 0.584 18.264 0 0 0.216 0 0 0
"13975" "FBtr0081624" 41.691 38.646 80.093 114.186 899.612 68.775 117.738 100.078 70.321 120.052 141.314 55.371 138.94 112.179 97.598 1244.375 17.596 29.493 70.311 226.935 51.044 108.3
"13976" "FBtr0081660" 0.881 0 0 0 0.743 0 0 0 0.249 0 0.355 0 0 0 0.584 13.698 0 0 0 0.327 1.403 0
"13977" "FBtr0081657" 4.498 3.797 2.198 4.387 3.535 2.466 2.803 3.477 2.991 1.589 2.098 1.735 1.72 2.118 3.208 0.198 4.279 3.933 3.379 1.895 2.032 1.847
"13978" "FBtr0081658" 4.553 3.823 2.31 4.657 3.65 2.437 2.913 3.403 2.925 1.643 2.027 1.718 1.693 2.135 3.139 0.227 4.328 4.056 3.289 1.899 2.105 1.942
"13979" "FBtr0081659" 4.408 3.702 2.237 4.51 3.534 2.36 2.821 3.295 2.837 1.591 1.969 1.664 1.639 2.068 3.039 0.22 4.191 3.927 3.185 1.839 2.039 1.881
"13980" "FBtr0300700" 0.037 0.06 0.027 0.137 0.103 0.145 0.058 0.039 0.116 0.202 0.074 0.193 0.288 0 0.258 1.246 0.064 0.064 0.134 0.289 0.474 0.147
"13981" "FBtr0085723" 2.131 235.222 41.892 231.878 419.013 58.275 622.353 93.383 36.622 222.146 363.472 123.382 653.73 349.645 371.369 969.565 216.966 444.729 275.593 236.961 227.744 379.338
"13982" "FBtr0085721" 0.441 108.537 5.797 85.861 84.933 9.775 154.646 65.772 6.307 30.026 60.661 14.922 130.397 27.946 121.113 207.467 42.69 147.136 44.855 23.007 29.226 50.711
"13983" "FBtr0085722" 0.381 95.071 5.405 75.846 74.788 8.965 135.407 58.258 5.856 26.93 54.946 13.489 113.961 24.569 103.19 157.195 37.32 133.089 40.719 19.084 26.682 45.158
"13984" "FBtr0085701" 3.822 4.104 3.383 4.177 4.074 4.539 5.747 3.577 3.605 5.829 6.756 3.905 4.366 5.606 5.144 2.113 2.622 4.766 3.259 5.196 3.931 3.86
"13985" "FBtr0085702" 3.65 3.793 3.219 4.05 4.125 4.652 5.231 3.525 3.548 5.57 6.651 3.777 4.5 5.457 5.08 1.381 2.755 4.777 3.191 5.04 3.625 3.775
"13986" "FBtr0085720" 19.552 18.458 20.003 19.06 17.115 18.734 16.729 18.453 17.14 16.567 17.004 14.817 15.505 17.713 16.281 5.978 19.114 16.637 18.754 15.728 16.764 13.614
"13987" "FBtr0085703" 45.815 48.243 39.543 50.75 53.201 43.435 46.574 53.088 41.785 37.727 46.309 31.856 42.348 38.201 57.673 88.502 48.337 48.158 38.309 32.889 32.566 34.827
"13988" "FBtr0085704" 84.825 72.387 107.436 91.559 71.785 86.192 63.442 100.401 88.736 75.684 82.722 90.65 70.608 67.521 82.893 24.736 75.444 82.905 77.081 67.42 69.599 67.616
"13989" "FBtr0085705" 92.183 75.154 117.318 99.854 78.678 89.723 67.835 104.248 97.189 78.68 91.425 95.916 76.786 71.575 89.18 27.608 82.295 88.668 85.904 73.144 74.82 73.532
"13990" "FBtr0085706" 89.617 71.395 115.307 97.197 76.545 86.208 63.834 99.145 96.593 76.011 87.053 97.268 75.488 70.433 88.053 23.133 76.389 81.879 79.586 68.852 73.507 72.166
"13991" "FBtr0085707" 108.394 86.704 138.847 117.795 92.131 105.687 77.722 118.723 116.851 90.503 105.712 117.485 90.725 85.885 106.944 29.249 91.961 97.762 94.966 83.28 87.087 87.525
"13992" "FBtr0085708" 2.293 2.718 1.491 1.877 1.52 1.826 2.451 2.292 2.156 1.939 1.842 1.728 1.924 0.993 2.129 1.021 2.185 1.772 1.429 1.045 1.206 1.741
"13993" "FBtr0085709" 0.06 0.044 0.196 0.05 0.215 0.07 0.042 0.294 0.206 0.039 0.027 0.074 0.146 0.091 0.209 6.278 0.046 0.046 0.049 0.099 0.079 0.166
"13994" "FBtr0085710" 8.402 2.887 1.326 5.389 2.69 0.493 1.807 2.242 1.939 1.248 1.015 0.741 5.108 1.8 6.399 3.931 3.947 6.465 2.09 1.838 1.003 1.98
"13995" "FBtr0085719" 3.106 3.393 2.227 2.955 1.343 1.449 1.541 1.636 2.649 1.896 2.237 1.822 1.653 0.548 3.501 6.499 3.229 2.674 1.403 1.375 1.474 1.916
"13996" "FBtr0085718" 12.639 10.454 10.114 11.91 7.563 9.312 7.822 8.479 10.353 15.583 10.507 9.498 5.617 5.121 10.908 3.339 9.544 8.248 4.31 3.934 3.71 5.437
"13997" "FBtr0085716" 55.96 58.108 61.946 56.604 44.672 53.664 43.154 57.315 59.426 39.079 44.159 53.767 42.831 47.223 53.285 24.064 52.509 48.71 49.06 47.142 47.583 47.904
"13998" "FBtr0085717" 57.976 60.255 64.289 58.668 46.349 55.794 44.75 59.392 61.578 40.504 45.741 55.86 44.416 49.047 55.43 24.908 54.46 50.456 50.775 49.028 49.314 49.631
"13999" "FBtr0085715" 15.813 20.569 19.381 17.319 15.508 21.153 14.023 24.176 27.185 13.648 18.754 28.014 18.949 32.901 24.693 52.309 38.877 22.37 32.484 29.056 31.989 24.065
"14000" "FBtr0085714" 233.329 232.19 267.488 273.726 247.071 204.534 268.196 209.302 227.14 367.527 370.404 283.87 323.739 246.981 229.327 127.695 230.371 266.435 293.672 293.811 235.69 227.044
"14001" "FBtr0085713" 229.351 229.555 263.432 271.072 243.53 201.694 264.845 206.846 223.428 362.64 362.197 278.437 320.219 243.429 227.888 124.693 226.87 264.844 288.553 292.002 230.386 222.693
"14002" "FBtr0078942" 45.112 43.177 27.42 43.368 32.336 23.765 36.166 43.285 32.197 22.428 24.606 29.87 35.847 30.142 43.053 24.298 46.627 43.69 41.438 33.296 35.437 33.319
"14003" "FBtr0078941" 48.062 46.314 29.102 46.364 34.903 25.099 38.448 46.147 34.548 23.886 26.434 32.265 38.597 32.403 46.28 27.696 50.001 46.727 44.467 35.586 38.104 35.909
"14004" "FBtr0078939" 48.36 46.602 29.223 46.538 34.692 25.577 38.713 46.558 34.812 24.094 26.735 32.526 38.935 33.146 47.026 27.615 50.214 46.875 44.981 35.46 38.323 36.373
"14005" "FBtr0085712" 1.831 2.096 1.833 2.172 1.76 1.756 2.169 2.848 2.135 1.36 1.891 1.94 1.696 0.948 2.26 0 1.477 1.584 1.67 0.816 1.352 1.092
"14006" "FBtr0089389" 2.812 2.455 2.239 1.885 1.901 3.005 2.507 2.813 2.502 1.929 2.366 1.6 1.413 3.35 2.446 1.412 2.56 2.677 2.226 1.909 3.118 2.483
"14007" "FBtr0089391" 2.504 2.336 2.182 1.74 1.768 2.685 2.285 2.61 2.512 1.782 2.118 1.527 1.377 3.024 2.206 1.236 2.439 2.382 2.156 1.773 3.01 2.335
"14008" "FBtr0273386" 2.805 2.357 2.265 1.926 1.813 3.07 2.549 2.695 2.385 1.849 2.375 1.482 1.302 3.634 2.604 1.664 2.58 2.713 2.174 1.908 3.172 2.505
"14009" "FBtr0089390" 2.921 2.544 2.663 1.924 2.343 2.942 2.603 3.271 2.811 1.937 2.527 1.972 1.634 3.258 2.812 2.052 2.767 3.014 2.651 2.33 3.683 2.79
"14010" "FBtr0085751" 0.943 0.098 0 1.683 0.032 0.237 0.106 1.561 0.159 1.913 0.226 0.39 0.141 0.309 0 0 0.156 0.157 0.302 0.208 0 0.12
"14011" "FBtr0085746" 5.267 4.913 3.7 4.686 3.244 5.62 4.412 4.894 4.405 3.745 3.076 3.944 3.733 5.382 4.783 1.941 6.307 4.683 5.085 4.877 4.756 3.824
"14012" "FBtr0085732" 4.267 4.755 14.902 5.356 4.209 11.668 5.19 6.031 10.749 10.979 11.874 12.188 3.862 5.503 4.918 0.285 3.697 2.704 4.465 3.726 4.539 4.772
"14013" "FBtr0091924" 0.284 0.598 0.912 0.533 0.4 1.25 0.261 0.2 0.837 0.905 0.668 0.734 0.372 0 0 0.153 0 0.497 0.232 0.088 0.377 0.422
"14014" "FBtr0085733" 31.702 39.33 27.99 38.94 32.073 41.079 34.976 31.882 31.566 16.044 25.425 22.504 23.096 32.046 33.601 16.117 30.648 29.132 24.02 17.299 21.355 16.976
"14015" "FBtr0085734" 29.086 37.121 26.221 35.304 29.047 37.399 32.428 28.161 29.971 14.445 23.337 21.946 21.453 29.803 31.305 15.992 28.199 26.725 22.265 16.855 20.592 16.269
"14016" "FBtr0085745" 97.672 97.76 103.427 95.933 116.119 109.222 106.161 118.949 100.587 123.146 124.8 91.382 85.496 123.997 109.42 115.707 99.774 94.761 96.303 108.402 89.49 95.969
"14017" "FBtr0085744" 32.247 33.586 34.787 30.145 28.99 34.658 34.382 30.659 31.539 33.852 33.262 37.144 31.317 33.042 36.639 12.449 39.745 39.245 40.087 31.489 38.352 34.119
"14018" "FBtr0085742" 34.418 35.974 37.136 32.522 31.199 37.239 37.13 32.769 33.62 36.435 35.956 39.361 33.198 35.447 39.356 13.65 42.227 42.551 43.071 33.805 41.307 36.691
"14019" "FBtr0085743" 34.156 35.659 36.731 32.217 30.542 36.902 36.576 32.598 33.332 35.886 35.384 39.068 33.031 35.269 38.861 13.217 42.17 41.791 42.493 33.226 40.618 36.099
"14020" "FBtr0085735" 0.37 0.341 1.155 0.273 0.242 0.174 0.219 0.948 0.243 0.214 0.413 0.426 0.811 0.546 0.942 2.699 1.33 1.573 1.181 0.86 1.264 1.851
"14021" "FBtr0085741" 43.848 38.645 40.276 37.488 29.102 49.361 29.594 44.978 38.914 27.917 34.167 39.826 32.775 34.932 38.5 22.212 37.267 36.054 33.959 34.781 36.537 34.1
"14022" "FBtr0290200" 3.394 1.613 3.506 2.9 2.684 1.103 1.831 3.186 1.27 1.515 1.768 2.065 2.301 2.815 3.692 1.896 3.72 2.779 3.316 2.071 2.885 3.031
"14023" "FBtr0290201" 3.512 1.669 3.628 3 2.777 1.141 1.895 3.297 1.314 1.579 1.83 2.137 2.381 2.913 3.821 1.962 3.849 2.926 3.431 2.143 2.986 3.137
"14024" "FBtr0085739" 0.341 0.189 0.801 0.385 0.216 0.542 0.206 0.629 0.316 0.233 0.357 0.434 0.514 0.771 0.456 0.091 1.261 0.522 0.959 0.685 0.892 0.873
"14025" "FBtr0085736" 1.801 1.446 0.857 2.17 1.243 1.697 0.734 1.762 0.772 0.898 0.421 0.498 0.354 0 0.639 0 0.78 1.012 0.216 0.657 0.448 0.688
"14026" "FBtr0085737" 5.291 3.972 3.011 5.656 4.379 1.823 3.248 3.138 2.805 2.103 2.313 2.553 6.198 4.379 6.085 0.095 5.364 5.516 6.769 3.815 4.98 4.451
"14027" "FBtr0085753" 42.883 46.15 40.687 40.578 30.173 49.828 41.525 42.921 43.032 32.025 43.351 44.64 37.632 45.474 45.92 20.099 46.734 47.314 48.342 46.013 54.557 41.917
"14028" "FBtr0085782" 81.438 90.47 89.036 95.001 71.983 91.845 88.692 93.449 69.204 62.359 78.875 87.255 126.034 165.256 159.301 84.557 149.148 157.542 165.219 136.561 149.07 131.662
"14029" "FBtr0085781" 77.572 85.827 84.389 90.606 68.047 86.913 83.618 89.461 65.788 59.238 74.643 83.044 119.47 156.21 150.763 79.571 141.506 149.633 156.888 128.809 140.708 124.793
"14030" "FBtr0301346" 75.985 84.051 82.713 88.711 66.632 85.158 81.897 87.639 64.428 58.078 73.141 81.366 116.99 152.942 147.609 77.906 138.587 146.545 153.635 126.125 137.812 122.214
"14031" "FBtr0085755" 1.328 3.402 4.733 2.776 6.331 1.803 6.15 6.185 2.81 3.998 4.703 4.802 7.261 2.675 8.793 8.032 6.408 9.133 5.526 5.859 4.239 3.741
"14032" "FBtr0085756" 1.382 3.53 4.996 2.938 6.577 1.835 6.422 6.527 2.928 4.136 4.94 4.991 7.524 2.661 9.291 8.081 6.686 9.472 5.786 6.063 4.449 3.844
"14033" "FBtr0113311" 1.24 3.268 4.694 2.708 5.944 1.669 5.934 5.945 2.7 3.738 4.554 4.58 6.923 2.453 8.488 7.45 6.046 8.852 5.36 5.598 4.221 3.582
"14034" "FBtr0085778" 342.136 306.914 333.368 413.406 241.758 213.524 197.793 328.511 305.108 225.862 202.658 315.481 411.643 334.85 510.34 202.114 470.248 482.242 563.975 363.749 348.788 371.182
"14035" "FBtr0085757" 9.482 8.562 11.975 7.124 11.404 12.021 12.188 10.441 11.966 12.852 13.642 10.059 13.655 16.323 11.285 13.635 10.412 12.794 10.836 16.377 12.326 13.279
"14036" "FBtr0085776" 4.144 4.095 5.855 4.388 4.854 5.558 4.476 6.338 5.655 4.988 5.987 5.95 4.674 5.105 3.779 1.213 3.164 4.258 3.608 4.478 3.915 4.633
"14037" "FBtr0085774" 580.526 622.306 377.247 566.792 517.711 415.012 483.801 594.882 464.584 384.92 403.55 457.984 520.491 423.902 677.065 710.639 658.923 653.851 493.812 456.259 507.429 450.054
"14038" "FBtr0085773" 440.179 472.209 286.595 429.897 393.035 315.619 367.99 452.15 352.533 292.572 306.735 348.333 395.594 321.615 512.898 536.289 499.947 496.245 375.376 346.177 385.239 341.84
"14039" "FBtr0085772" 544.907 584.594 354.444 532.08 486.84 390.179 454.551 559.887 436.183 361.81 379.03 430.273 489.715 398.427 635.486 666.006 618.347 614.722 463.996 428.457 477.04 422.828
"14040" "FBtr0085775" 26.934 34.966 28.65 33.869 72.392 31.096 34.394 32.362 27.35 23.581 30.498 32.113 20.022 38.907 22.654 113.708 17.298 24.377 18.052 31.723 21.411 32.06
"14041" "FBtr0085758" 23.385 29.377 23.382 22.354 11.689 25.602 22.761 22.356 23.442 19.942 21.98 22.66 20.73 20.578 23.044 4.236 23.348 24.625 21.697 19.431 20.155 16.525
"14042" "FBtr0113312" 26.367 30.015 29.629 26.621 14.867 29.06 25.044 26.498 27.255 24.763 26.077 25.995 24.906 26.946 28.494 5.563 26.199 27.11 25.211 24.679 24.472 21.11
"14043" "FBtr0085771" 0.493 0.26 0.642 0.37 1.109 0.208 0.497 0.291 0.585 0.435 0.318 0.416 0.31 0.362 0.131 0 0.41 0.138 0.241 0.366 0.786 0.492
"14044" "FBtr0085769" 5.745 6.029 5.037 6.5 6.711 5.923 6.746 5.825 5.299 8.025 7.482 5.865 6.972 6.877 7.707 1.941 5.871 6.064 5.84 6.633 6.394 6.111
"14045" "FBtr0085759" 13.533 13.104 17.172 14.309 12.502 14.903 16.369 18.137 15.53 13.854 15.567 15.098 14.164 12.354 12.452 34.37 11.907 9.079 13.098 10.634 12.31 14.529
"14046" "FBtr0085768" 4.652 4.015 4.419 3.606 4.279 4.469 4.586 5.99 4.969 4.198 3.585 5.696 3.883 4.416 3.495 13.578 3.185 2.812 4.11 3.173 4.744 3.762
"14047" "FBtr0085767" 4.205 3.895 4.008 3.295 3.707 4.073 4.131 5.081 4.547 3.857 3.54 5.331 3.81 3.871 3.324 11.234 2.964 2.825 3.952 3.155 4.351 3.642
"14048" "FBtr0085760" 12.467 10.623 16.828 12.312 16.643 16.07 14.908 15.664 15.017 17.112 18.385 18.282 14.298 13.983 13.508 8.922 11.628 10.438 12.906 18.12 16.134 13.772
"14049" "FBtr0113330" 1.179 0.453 0.044 0 2.444 0 0.093 17.914 0.291 0.108 0.089 0.347 0.046 1.285 45.749 0.668 0 1.134 1.082 3.777 0.469 2.758
"14050" "FBtr0301051" 4.685 5.064 3.62 4.333 1.776 4.468 3.765 4.716 3.323 2.913 3.167 3.967 3.487 2.437 4.463 0.087 3.867 3.902 4.308 5.13 3.719 3.127
"14051" "FBtr0290046" 7.948 7.295 6.571 6.765 3.683 6.883 5.954 6.236 6.331 5.419 5.925 5.673 5.087 5.4 7.295 2.465 7.341 6.86 6.466 7.128 6.744 5.939
"14052" "FBtr0085785" 24.075 28.282 23.672 26.219 23.47 24.857 30.431 23.831 24.305 23.083 26.938 27.974 31.294 26.026 28.799 14.167 27.635 27.1 29.678 28.124 28.079 24.53
"14053" "FBtr0085786" 25.017 29.247 24.486 27.351 24.469 25.8 31.712 24.963 25.02 23.982 27.961 29.105 32.448 26.835 29.945 14.77 28.48 27.949 30.824 29.232 29.083 25.31
"14054" "FBtr0085814" 0.386 0.276 0.256 0.207 0.288 0.249 0.223 0.382 0.234 0.139 0.19 0.244 0.223 0.217 0.156 1.785 0.491 0.165 0.231 0.19 0.313 0.281
"14055" "FBtr0085787" 7.839 7.825 8.949 7.898 7.178 9.91 8.282 7.269 8.227 8.649 9.276 9.902 7.225 7.738 5.72 2.715 6.464 6.162 7.639 8.589 8.165 7.085
"14056" "FBtr0300881" 4.373 3.911 3.55 4.256 5.083 4.186 4.485 5.006 4.123 3.853 4.261 3.879 5.076 4.04 4.462 2.954 4.583 4.147 4.122 4.209 4.266 4.309
"14057" "FBtr0113314" 4.734 4.19 3.769 4.452 5.484 3.941 4.862 5.435 4.16 4.082 4.675 3.938 5.525 4.637 5.152 3.481 4.842 4.548 4.45 4.451 4.257 4.569
"14058" "FBtr0085812" 4.34 3.866 3.51 4.175 5.043 3.561 4.469 5.1 3.917 3.805 4.253 3.599 5.003 4.227 4.655 3.123 4.378 4.148 4.07 4.057 3.916 4.22
"14059" "FBtr0085811" 5.277 4.827 4.535 4.784 5.297 5.013 5.306 6.222 4.599 4.852 5.337 4.094 6.019 5.067 5.321 3.017 5.166 4.92 4.803 4.887 4.58 4.658
"14060" "FBtr0085788" 20.704 20.945 22.305 19.877 18.004 26.141 19.781 21.111 20.916 20.364 21.504 23.042 19.282 19.272 19.435 6.427 18.106 18.84 18.581 23.195 21.646 17.327
"14061" "FBtr0085810" 2.169 1.74 1.671 2.285 3.44 1.372 2.836 2.871 1.583 2.529 2.166 2.179 2.622 3.374 4.052 2.903 3.169 2.696 2.467 2.764 3.283 3.66
"14062" "FBtr0085809" 13.706 13.235 11.957 15.111 15.617 15.471 30.951 13.534 10.325 22.717 18.644 12.457 20.81 26.964 21.785 22.038 13.265 15.183 17.21 21.523 17.918 20.232
"14063" "FBtr0085808" 13.911 13.359 12.264 15.663 15.821 15.153 31.107 13.689 10.828 23.186 18.972 12.818 21.001 26.687 21.616 21.519 13.493 15.492 17.44 22.044 18.254 20.111
"14064" "FBtr0078940" 16 18.035 12.359 15.998 10.987 12.024 12.902 15.696 13.311 11.126 12.383 16.917 17.46 10.813 18.717 10.8 16.965 15.622 16.409 12.642 14.128 11.889
"14065" "FBtr0085793" 22.03 22.569 21.471 20.901 23.004 18.893 23.031 23.31 23.832 23.892 24.254 20.98 24.188 20.804 22.945 12.185 21.002 25.197 24.749 21.196 21.294 20.533
