"Transcript" "M1-10" "M1-13" "M1-28" "M1-3" "M1-30" "M1-31" "M1-32" "M1-8" "M2-13" "M2-14" "M2-15" "M2-17" "M3-26" "M3-28" "M3-4" "M3-5" "M3-8" "M3-9" "M4-1" "M4-17" "M4-18" "M4-21"
"80" "FBtr0080058" 29.584 34.971 31.592 30.477 23.502 28.019 23.308 30.544 33.131 22.351 23.516 34.566 27.936 24.108 28.727 12.189 33.496 26.509 28.809 22.601 31.141 26.533
"81" "FBtr0079992" 38.853 45.802 35.152 36.248 40.924 39.323 34.084 40.602 37.972 31.775 35.006 35.614 34.38 37.513 40.623 21.421 39.785 38.574 38.747 31.095 32.983 31.699
"82" "FBtr0079993" 18.213 22.643 18.288 16.877 12.877 20.487 16.735 17.668 20.776 16.868 14.176 19.763 16.668 15.788 19.275 4.652 17.094 15.234 15.649 15.846 17.717 15.286
"83" "FBtr0079995" 9.575 12.892 8.409 10.505 13.405 9.651 13.782 13.327 11.19 11.41 10.425 11.824 16.462 6.79 8.701 6.177 9.173 9.938 10.808 10.085 12.629 9.957
"84" "FBtr0079994" 9.903 13.189 10.021 11.419 14.174 10.583 14.281 11.875 13.854 12.929 12.697 14.502 17.756 8.429 10.334 15.057 12.802 10.246 13.022 9.541 14.79 12.45
"85" "FBtr0079996" 16.575 19.616 17.754 15.824 11.15 19.809 15.419 21.066 20.433 16.193 17.629 20.881 20.4 13.565 14.863 41.737 20.637 17.873 21.117 14.112 24.856 21.072
"86" "FBtr0079997" 15.789 15.428 28.743 19.364 21.182 22.831 16.416 19.541 22.832 24.297 20.218 29.437 25.554 23.504 19.566 19.18 16.925 15.167 17.909 23.689 21.4 23.031
"87" "FBtr0079998" 14.823 14.552 27.47 18.466 19.922 21.588 15.573 18.575 21.832 23.07 19.346 27.85 23.939 22.25 18.102 15.983 16.191 14.373 17.132 21.723 20.556 21.916
"88" "FBtr0079999" 7.921 7.051 10.894 6.409 6.153 8.069 6.8 9.196 7.773 6.075 7.725 9.012 6.061 4.681 6.383 0.081 5.215 6.219 6.244 5.485 6.584 5.897
"89" "FBtr0301049" 1.915 2.113 1.669 1.541 1.602 0.992 1.35 1.04 0.979 0.898 1.254 1.224 1.625 1.51 2.548 2.511 2.932 2.137 1.983 1.811 1.497 1.382
"90" "FBtr0112592" 1.873 2.054 1.519 1.417 1.265 1.187 1.218 1.309 1.017 0.939 1.215 1.094 1.614 1.24 2.951 1.924 2.496 2.141 1.817 1.873 1.362 1.46
"91" "FBtr0080000" 35.142 40.799 42.53 42.436 42.499 42.177 40.981 40.511 35.14 46.159 43.547 37.564 40.214 44.015 43.723 36.096 38.018 37.838 35.11 35.663 37.025 38.572
"92" "FBtr0080054" 14.243 16.049 15.246 16.149 13.31 15.307 15.926 13.095 15.674 19.18 16.236 16.843 14.318 13.694 12.38 6.197 13.764 14.374 13.523 15.114 14.019 14.086
"93" "FBtr0080001" 0.87 0.575 0.98 1.138 0.815 1.092 0.782 0.814 0.936 0.73 0.612 1.215 0.304 0.38 0 0.089 0 0.193 0.236 0.359 0.659 0.221
"94" "FBtr0302490" 21.611 18.889 15.797 20.533 16.65 15.767 16.988 17.248 17.015 18.579 15.902 19.693 15.809 16.334 16.997 20.136 14.966 15.312 19.954 14.146 13.49 13.026
"95" "FBtr0080002" 23.505 20.374 17.165 22.15 18.16 16.967 18.459 18.766 18.45 20.12 17.3 21.397 17.209 17.816 18.412 21.962 16.247 16.548 21.603 15.408 14.627 14.129
"96" "FBtr0080003" 13.555 15.691 13.992 14.633 12.248 16.03 17.31 12.456 16.863 16.39 18.709 17.636 16.29 14.657 14.121 9.007 12.423 12.968 14.035 17.197 16.607 15.295
"97" "FBtr0089855" 25.411 27.248 25.593 21.785 17.169 27.965 22.641 24.064 24.906 18.313 20.452 21.811 21.682 25.014 27.231 7.829 29.744 30.348 26.226 24.929 26.754 23.039
"98" "FBtr0080052" 16.158 18.344 12.552 17.252 18.953 14.207 20.377 16.152 13.805 18.737 13.17 11.913 17.629 13.331 16.228 9.907 17.041 18.181 14.198 16.372 12.421 12.345
"99" "FBtr0080004" 17.693 18.45 17.047 15.612 13.912 18.812 14.761 17.561 20.011 13.287 14.164 19.899 18.454 16.943 20.291 7.123 18.491 21.516 20.757 19.029 21.262 18.119
"100" "FBtr0080005" 2.013 1.897 2.096 1.726 1.963 1.495 1.688 1.577 1.801 2.319 1.294 2.145 2.513 2.717 1.994 0.066 2.349 2.159 1.906 1.409 1.873 1.84
"101" "FBtr0080006" 1.158 1.762 1.348 1.505 1.096 2.444 1.033 1.415 1.233 0.885 0.855 1.254 2.112 1.063 1.879 0 1.552 1.512 1.993 1.735 1.844 1.693
"102" "FBtr0113034" 1.115 1.642 1.284 1.371 0.969 2.199 1.018 1.344 1.142 0.688 0.788 1.087 1.899 1.172 1.606 0 1.651 1.309 1.842 1.77 1.66 1.699
"103" "FBtr0080051" 0.273 0.664 0.316 0.134 0.25 0.376 0.617 0.701 0.285 0.524 0.263 0.53 0.859 0.491 0.865 0 1.317 0.997 0.625 0.971 0.993 1.376
"104" "FBtr0080007" 34.932 37.863 32.219 37.867 36.993 36.995 33.696 42.293 35.56 32.785 29.297 38.568 40.091 41.719 43.007 63.424 35.578 33.73 30.032 43.109 37.874 34.764
"105" "FBtr0080008" 23.756 24.009 23.837 20.617 25.168 27.547 24.454 23.406 21.331 22.662 20.884 17.306 22.04 25.636 27.708 10.612 23.02 28.48 22.084 25.009 22.443 20.53
"106" "FBtr0080050" 158.974 222.226 153.836 213.434 415.679 175.549 354.34 268.526 113.599 346.395 342.363 177.296 378.35 263.762 287.279 398.265 210.53 297.263 242.543 381.971 243.347 305.361
"107" "FBtr0301452" 12.114 11.618 10.475 11.918 10.307 12.867 9.352 10.94 10.845 9.462 8.138 12.524 9.168 9.729 11.612 5.945 11.423 9.506 10.203 7.751 9.69 8.868
"108" "FBtr0080009" 55.591 59.143 62.358 58.431 56.245 65.751 52.417 53.326 62.614 49.805 52.441 66.701 47.429 43.323 52.925 22.195 53.434 46.247 50.044 46.182 49.462 47.271
"109" "FBtr0080010" 56.716 60.498 63.676 59.75 57.383 67.009 53.543 54.4 63.962 50.973 53.486 68.123 48.473 44.223 54.131 22.892 54.58 47.09 50.974 47.187 50.409 48.16
"110" "FBtr0080011" 57.245 60.818 63.96 60.299 58.14 67.653 54.055 54.823 64.542 51.329 54.024 68.676 48.993 44.67 54.722 22.468 55.01 47.751 51.762 47.73 50.922 48.685
"111" "FBtr0080012" 56.439 59.997 63.234 59.391 57.132 66.705 53.257 54.011 63.559 50.589 53.208 67.682 48.184 44.015 53.67 22.014 54.299 46.963 50.857 46.919 50.151 47.965
"112" "FBtr0080013" 58.445 61.895 65.303 61.402 59.436 69.065 55.18 56.139 65.719 52.203 55.219 70.041 49.983 45.605 55.73 22.751 55.985 48.818 52.837 48.754 52.059 49.793
"113" "FBtr0080014" 58.846 62.351 65.739 61.819 59.873 69.517 55.587 56.467 66.15 52.577 55.629 70.552 50.357 45.922 56.16 22.926 56.416 49.141 53.235 49.073 52.43 50.129
"114" "FBtr0100253" 15.454 18.091 15.821 15.824 14.244 21.964 17.348 16.035 17.291 15.33 14.554 17.911 17.777 19.187 20.473 35.975 16.449 17.822 16.775 16.902 18.431 20.825
"115" "FBtr0091657" 15.454 18.091 15.821 15.824 14.244 21.964 17.348 16.035 17.291 15.33 14.554 17.911 17.777 19.187 20.473 35.975 16.449 17.822 16.775 16.902 18.431 20.825
"116" "FBtr0080015" 0.818 1.916 0.447 1.28 0.435 0.209 1.187 1.372 0.909 0.222 0.416 0.502 0.574 0.62 0.408 0.72 0.385 1.055 0.447 0.354 0.253 0.382
"117" "FBtr0080016" 822.883 1146.476 963.484 1139.535 1119.676 1194.083 1310.874 1105.006 1109.108 1281.513 1220.286 1292.076 1200.465 1213.889 1267.494 2578.813 903.085 918.771 828.244 1235.746 928.57 1142.518
"118" "FBtr0080017" 204.675 215.837 290.158 203.66 204.619 283.535 248.277 200.725 271.218 292.441 338.477 311.98 286.437 321.111 241.289 310.543 236.8 210.065 265.604 345.905 311.217 258.915
"119" "FBtr0080047" 18.158 19.19 15.756 20.129 21.12 16.69 20.646 18.573 18.064 24.243 20.185 21.472 21.328 16.52 18.656 8.82 14.69 17.832 17.214 19.386 17.14 17.138
"120" "FBtr0080018" 5.581 5.302 5.548 5.529 5.729 6.133 5.44 5.458 6.621 5.934 6.394 7.231 5.937 4.21 4.756 2.394 5.17 6.228 5.791 5.691 6.139 5.792
"121" "FBtr0302039" 5.61 5.33 5.577 5.558 5.759 6.165 5.469 5.486 6.656 5.965 6.427 7.269 5.968 4.232 4.781 2.406 5.197 6.26 5.821 5.714 6.172 5.822
"122" "FBtr0302040" 5.471 5.198 5.439 5.42 5.62 6.012 5.333 5.35 6.49 5.817 6.268 7.093 5.82 4.127 4.663 2.347 5.068 6.105 5.676 5.579 6.031 5.678
"123" "FBtr0302038" 5.723 5.39 5.693 5.657 5.888 6.267 5.565 5.566 6.781 6.044 6.558 7.399 6.103 4.312 4.866 2.461 5.29 6.353 5.918 5.817 6.228 5.886
"124" "FBtr0080019" 2.269 2.152 2.384 2.977 2.312 4.129 2.321 2.844 2.692 2.584 2.125 3.39 2.069 3.385 2.31 4.776 4.01 2.698 2.845 2.465 3.297 3.256
"125" "FBtr0080046" 0.956 1.021 1.596 1.035 0.659 0.881 0.808 1.637 1.034 0.915 1.202 1.242 1.272 1.856 1.01 0.333 1.78 1.527 1.523 1.705 2.172 1.762
"126" "FBtr0080020" 44.752 47.416 55.905 48.428 54.15 51.726 46.681 47.021 52.053 57.569 52.474 67.904 51.449 46.157 47.991 59.304 41.657 44.719 42.699 57.347 49.128 51.488
